step,loss
0,0.0012140962
100,0.0012922089
200,0.0012577537
300,0.0012512474
400,0.0012510725
500,0.0012706443
600,0.0012580459
700,0.0011630193
800,0.0012083236
900,0.0012014362
1000,0.0012750166
1100,0.0011908215
1200,0.0012744245
1300,0.0012133355
1400,0.0013589017
1500,0.0011905115
1600,0.0012908138
1700,0.0012132939
1800,0.0012499484
1900,0.0011995594
2000,0.0011585183
2100,0.0011780213
2200,0.0011814939
2300,0.0011691763
2400,0.0012361748
2500,0.0012609073
2600,0.0012659795
2700,0.0012529055
2800,0.0012303244
2900,0.0012364583
3000,0.0012892508
3100,0.0011934674
3200,0.0011365596
3300,0.0011985049
3400,0.0012339433
3500,0.0012338313
3600,0.0012211185
3700,0.0011738108
3800,0.0011656245
3900,0.0011424185
4000,0.0011986154
4100,0.0012022791
4200,0.0012244848
4300,0.0011582501
4400,0.0012967365
4500,0.0011557038
4600,0.0012237979
4700,0.0011888241
4800,0.0012259724
4900,0.0011951557
5000,0.001132718
5100,0.0011695691
5200,0.0012314947
5300,0.0012027645
5400,0.0011732823
5500,0.0012160983
5600,0.0011936015
5700,0.001195138
5800,0.0012092906
5900,0.0012070464
6000,0.0011254428
6100,0.0011960603
6200,0.0012048624
6300,0.0011815415
6400,0.0011701664
6500,0.0012175664
6600,0.0012443223
6700,0.001209427
6800,0.0011817216
6900,0.001264798
7000,0.0012392859
7100,0.0011397055
7200,0.001122244
7300,0.0011797535
7400,0.0011264336
7500,0.0011023445
7600,0.0011356162
7700,0.0011344202
7800,0.001173544
7900,0.0010975422
8000,0.0011769461
8100,0.0011822667
8200,0.0010904286
8300,0.0011326935
8400,0.0011205538
8500,0.0012035085
8600,0.0011585371
8700,0.0011281339
8800,0.0011330091
8900,0.0011225905
9000,0.0011538125
9100,0.0011450157
9200,0.001189975
9300,0.0011837881
9400,0.0010695161
9500,0.0010918593
9600,0.0010962131
9700,0.001187187
9800,0.0011537361
9900,0.0011269919
10000,0.0011161753
